,,Year,Month,Day,Hour,Minute,Second,x,y,theta,Record,U (m s^-1),V (m s^-1),W (m s^-1),TSonic (K),RH (%),T_HMP60 (C)
p1,430,2020.0,10.0,8.0,15.0,0.0,46.0,2.8,0.7,0.0,8246408.0,0.012,0.008,0.09300000000000001,296.8,33.93,22.53
p1,431,2020.0,10.0,8.0,15.0,0.0,46.1,2.8,0.7,0.0,8246409.0,0.012,0.008,0.09300000000000001,296.8,33.93,22.53
p1,432,2020.0,10.0,8.0,15.0,0.0,46.2,2.8,0.7,0.0,8246410.0,0.012,0.009000000000000001,0.09300000000000001,296.8,33.93,22.53
p1,433,2020.0,10.0,8.0,15.0,0.0,46.3,2.8,0.7,0.0,8246411.0,0.012,0.009000000000000001,0.09300000000000001,296.8,33.93,22.53
p1,434,2020.0,10.0,8.0,15.0,0.0,46.4,2.8,0.7,0.0,8246412.0,0.012,0.008,0.09300000000000001,296.8,33.93,22.53
p1,435,2020.0,10.0,8.0,15.0,0.0,46.5,2.8,0.7,0.0,8246413.0,0.012,0.008,0.09300000000000001,296.8,33.97,22.58
p1,436,2020.0,10.0,8.0,15.0,0.0,46.6,2.8,0.7,0.0,8246414.0,0.012,0.008,0.09300000000000001,296.8,33.93,22.53
p1,437,2020.0,10.0,8.0,15.0,0.0,46.7,2.8,0.7,0.0,8246415.0,0.012,-0.040999999999999995,0.09300000000000001,296.8,33.93,22.53
p1,438,2020.0,10.0,8.0,15.0,0.0,46.8,2.8,0.7,0.0,8246416.0,0.012,-0.040999999999999995,0.09300000000000001,296.8,33.93,22.53
p1,439,2020.0,10.0,8.0,15.0,0.0,46.9,2.8,0.7,0.0,8246417.0,0.012,-0.040999999999999995,0.09300000000000001,296.8,33.93,22.53
p1,440,2020.0,10.0,8.0,15.0,0.0,47.0,2.8,0.7,0.0,8246418.0,-0.008,-0.002,0.07400000000000001,296.8,33.93,22.53
p1,441,2020.0,10.0,8.0,15.0,0.0,47.1,2.8,0.7,0.0,8246419.0,-0.008,-0.002,0.07400000000000001,296.8,33.93,22.53
p1,442,2020.0,10.0,8.0,15.0,0.0,47.2,2.8,0.7,0.0,8246420.0,-0.008,-0.002,0.073,296.8,33.93,22.53
p1,443,2020.0,10.0,8.0,15.0,0.0,47.3,2.8,0.7,0.0,8246421.0,-0.008,-0.002,0.07400000000000001,296.8,33.93,22.53
