,,Year,Month,Day,Hour,Minute,Second,x,y,theta,Record,U (m s^-1),V (m s^-1),W (m s^-1),TSonic (K),RH (%),T_HMP60 (C)
p1,363,2020.0,9.0,29.0,11.0,43.0,3.1,2.8,0.7,0.0,3230603.0,-0.066,-0.212,0.215,297.9,43.24,23.29
p1,364,2020.0,9.0,29.0,11.0,43.0,3.2,2.8,0.7,0.0,3230604.0,-0.066,-0.212,0.215,297.9,43.25,23.31
p1,365,2020.0,9.0,29.0,11.0,43.0,3.3,2.8,0.7,0.0,3230605.0,-0.13,-0.27,0.215,297.8,43.23,23.29
p1,366,2020.0,9.0,29.0,11.0,43.0,3.4,2.8,0.7,0.0,3230606.0,-0.13,-0.271,0.215,297.8,43.24,23.29
p1,367,2020.0,9.0,29.0,11.0,43.0,3.5,2.8,0.7,0.0,3230607.0,-0.13,-0.271,0.215,297.8,43.24,23.28
p1,368,2020.0,9.0,29.0,11.0,43.0,3.6,2.8,0.7,0.0,3230608.0,-0.09699999999999999,-0.212,0.225,298.0,43.25,23.29
p1,369,2020.0,9.0,29.0,11.0,43.0,3.7,2.8,0.7,0.0,3230609.0,-0.096,-0.21100000000000002,0.225,298.0,43.25,23.28
p1,370,2020.0,9.0,29.0,11.0,43.0,3.8,2.8,0.7,0.0,3230610.0,-0.067,-0.212,0.215,297.9,43.21,23.31
p1,371,2020.0,9.0,29.0,11.0,43.0,3.9,2.8,0.7,0.0,3230611.0,-0.067,-0.212,0.215,297.9,43.25,23.28
p1,372,2020.0,9.0,29.0,11.0,43.0,4.0,2.8,0.7,0.0,3230612.0,-0.066,-0.212,0.215,297.9,43.24,23.29
p1,373,2020.0,9.0,29.0,11.0,43.0,4.1,2.8,0.7,0.0,3230613.0,-0.008,-0.16399999999999998,0.147,297.8,43.24,23.28
p1,374,2020.0,9.0,29.0,11.0,43.0,4.2,2.8,0.7,0.0,3230614.0,-0.008,-0.163,0.147,297.8,43.24,23.28
p1,375,2020.0,9.0,29.0,11.0,43.0,4.3,2.8,0.7,0.0,3230615.0,-0.057,0.008,0.147,297.9,43.24,23.28
p1,376,2020.0,9.0,29.0,11.0,43.0,4.4,2.8,0.7,0.0,3230616.0,-0.057,0.008,0.147,297.9,43.3,23.31
p1,377,2020.0,9.0,29.0,11.0,43.0,4.5,2.8,0.7,0.0,3230617.0,-0.057,0.008,0.146,297.9,43.24,23.28
p1,378,2020.0,9.0,29.0,11.0,43.0,4.6,2.8,0.7,0.0,3230618.0,-0.027999999999999997,0.13,0.09300000000000001,298.0,43.23,23.28
p1,379,2020.0,9.0,29.0,11.0,43.0,4.7,2.8,0.7,0.0,3230619.0,-0.027999999999999997,0.13,0.09300000000000001,298.0,43.23,23.28
p1,380,2020.0,9.0,29.0,11.0,43.0,4.8,2.8,0.7,0.0,3230620.0,-0.057,0.087,0.073,298.1,43.23,23.28
p1,381,2020.0,9.0,29.0,11.0,43.0,4.9,2.8,0.7,0.0,3230621.0,-0.057,0.087,0.073,298.1,43.23,23.28
p1,382,2020.0,9.0,29.0,11.0,43.0,5.0,2.8,0.7,0.0,3230622.0,-0.057,0.086,0.073,298.1,43.23,23.28
p1,383,2020.0,9.0,29.0,11.0,43.0,5.1,2.8,0.7,0.0,3230623.0,-0.077,0.057,0.044000000000000004,298.2,43.22,23.28
p1,384,2020.0,9.0,29.0,11.0,43.0,5.2,2.8,0.7,0.0,3230624.0,-0.077,0.057,0.044000000000000004,298.2,43.22,23.28
p1,385,2020.0,9.0,29.0,11.0,43.0,5.3,2.8,0.7,0.0,3230625.0,-0.077,0.057,0.11699999999999999,297.9,43.22,23.28
p1,386,2020.0,9.0,29.0,11.0,43.0,5.4,2.8,0.7,0.0,3230626.0,-0.077,0.057,0.11699999999999999,297.9,43.22,23.28
p1,387,2020.0,9.0,29.0,11.0,43.0,5.5,2.8,0.7,0.0,3230627.0,-0.077,0.057,0.11699999999999999,297.9,43.22,23.28
p1,388,2020.0,9.0,29.0,11.0,43.0,5.6,2.8,0.7,0.0,3230628.0,-0.057,0.008,0.146,297.9,43.22,23.28
p1,389,2020.0,9.0,29.0,11.0,43.0,5.7,2.8,0.7,0.0,3230629.0,-0.057,0.008,0.147,297.9,43.22,23.31
p1,390,2020.0,9.0,29.0,11.0,43.0,5.8,2.8,0.7,0.0,3230630.0,-0.057,0.008,0.147,297.9,43.21,23.28
p1,391,2020.0,9.0,29.0,11.0,43.0,5.9,2.8,0.7,0.0,3230631.0,-0.057,0.008,0.147,297.9,43.2,23.28
p1,392,2020.0,9.0,29.0,11.0,43.0,6.0,2.8,0.7,0.0,3230632.0,-0.057,0.008,0.146,297.9,43.2,23.28
p1,393,2020.0,9.0,29.0,11.0,43.0,6.1,2.8,0.7,0.0,3230633.0,-0.077,-0.002,0.11699999999999999,297.8,43.19,23.28
p1,394,2020.0,9.0,29.0,11.0,43.0,6.2,2.8,0.7,0.0,3230634.0,-0.077,-0.002,0.11699999999999999,297.8,43.19,23.28
p1,395,2020.0,9.0,29.0,11.0,43.0,6.3,2.8,0.7,0.0,3230635.0,0.012,0.008,0.09300000000000001,297.8,43.19,23.28
p1,396,2020.0,9.0,29.0,11.0,43.0,6.4,2.8,0.7,0.0,3230636.0,0.012,0.008,0.09300000000000001,297.8,43.19,23.28
p1,397,2020.0,9.0,29.0,11.0,43.0,6.5,2.8,0.7,0.0,3230637.0,0.012,0.008,0.09300000000000001,297.8,43.18,23.28
p1,398,2020.0,9.0,29.0,11.0,43.0,6.6,2.8,0.7,0.0,3230638.0,0.012,0.008,0.09300000000000001,297.8,43.18,23.28
p1,399,2020.0,9.0,29.0,11.0,43.0,6.7,2.8,0.7,0.0,3230639.0,0.012,0.008,0.09300000000000001,297.8,43.18,23.28
p1,400,2020.0,9.0,29.0,11.0,43.0,6.8,2.8,0.7,0.0,3230640.0,-0.027999999999999997,-0.002,0.09300000000000001,297.8,43.18,23.28
p1,401,2020.0,9.0,29.0,11.0,43.0,6.9,2.8,0.7,0.0,3230641.0,-0.027999999999999997,-0.002,0.09300000000000001,297.8,43.24,23.28
