x,y,theta
941.6666666666666,77.0,0.0
941.3333333333334,77.0,0.0
941.0,77.0,0.0
941.0,77.0,0.0
940.6666666666666,77.0,0.0
940.3333333333334,77.0,0.0
940.0,77.0,0.0
940.0,77.0,0.0
939.6666666666666,77.0,0.0
939.3333333333334,77.0,0.0
939.0,77.0,0.0
939.0,77.0,0.0
938.6666666666666,77.0,0.0
938.3333333333334,77.0,0.0
938.0,77.0,0.0
938.0,77.0,0.0
937.6666666666666,77.0,0.0
937.3333333333334,77.0,0.0
937.0,77.0,0.0
937.0,77.0,0.0
936.6666666666666,77.0,0.0
936.3333333333334,77.0,0.0
936.0,77.0,0.0
936.0,77.0,0.0
935.6666666666666,77.0,0.0
935.3333333333334,77.0,0.0
935.0,77.0,0.0
935.0,77.0,0.0
934.6666666666666,77.0,0.0
934.3333333333334,77.0,0.0
934.0,77.0,0.0
934.0,77.0,0.0
933.6666666666666,77.0,0.0
933.3333333333334,77.0,0.0
933.0,77.0,0.0
933.0,77.0,0.0
932.6666666666666,77.0,0.0
932.3333333333334,77.0,0.0
932.0,77.0,0.0
932.0,77.0,0.0
931.6666666666666,77.0,0.0
931.3333333333334,77.0,0.0
931.0,77.0,0.0
931.0,77.0,0.0
930.6666666666666,77.0,0.0
930.3333333333334,77.0,0.0
930.0,77.0,0.0
930.0,77.0,0.0
929.6666666666666,77.0,0.0
929.3333333333334,77.0,0.0
929.0,77.0,0.0
929.0,77.0,0.0
928.6666666666666,77.0,0.0
928.3333333333334,77.0,0.0
928.0,77.0,0.0
928.0,77.0,0.0
927.6666666666666,77.0,0.0
927.3333333333334,77.0,0.0
927.0,77.0,0.0
927.0,77.0,0.0
926.6666666666666,77.0,0.0
926.3333333333334,77.0,0.0
926.0,77.0,0.0
926.0,77.0,0.0
925.6666666666666,77.0,0.0
925.3333333333334,77.0,0.0
925.0,77.0,0.0
925.0,77.0,0.0
924.6666666666666,77.0,0.0
924.3333333333334,77.0,0.0
924.0,77.0,0.0
924.0,77.0,0.0
923.6666666666666,77.0,0.0
923.3333333333334,77.0,0.0
923.0,77.0,0.0
923.0,77.0,0.0
922.6666666666666,77.0,0.0
922.3333333333334,77.0,0.0
922.0,77.0,0.0
922.0,77.0,0.0
921.6666666666666,77.0,0.0
921.3333333333334,77.0,0.0
921.0,77.0,0.0
921.0,77.0,0.0
920.6666666666666,77.0,0.0
920.3333333333334,77.0,0.0
920.0,77.0,0.0
920.0,77.0,0.0
919.6666666666666,77.0,0.0
919.3333333333334,77.0,0.0
919.0,77.0,0.0
919.0,77.0,0.0
918.6666666666666,77.0,0.0
918.3333333333334,77.0,0.0
918.0,77.0,0.0
918.0,77.0,0.0
917.6666666666666,77.0,0.0
917.3333333333334,77.0,0.0
917.0,77.0,0.0
917.0,77.0,0.0
916.6666666666666,77.0,0.0
916.3333333333334,77.0,0.0
916.0,77.0,0.0
916.0,77.0,0.0
915.6666666666666,77.0,0.0
915.3333333333334,77.0,0.0
915.0,77.0,0.0
915.0,77.0,0.0
914.6666666666666,77.0,0.0
914.3333333333334,77.0,0.0
914.0,77.0,0.0
914.0,77.0,0.0
913.6666666666666,77.0,0.0
913.3333333333334,77.0,0.0
913.0,77.0,0.0
913.0,77.0,0.0
912.6666666666666,77.0,0.0
912.3333333333334,77.0,0.0
912.0,77.0,0.0
912.0,77.0,0.0
911.6666666666666,77.0,0.0
911.3333333333334,77.0,0.0
911.0,77.0,0.0
911.0,77.0,0.0
910.6666666666666,77.0,0.0
910.3333333333334,77.0,0.0
910.0,77.0,0.0
910.0,77.0,0.0
909.6666666666666,77.0,0.0
909.3333333333334,77.0,0.0
909.0,77.0,0.0
